original,positive,negative,positive_cos_sim,negative_cos_sim,original_label,positive_label,negative_label,original_sentiment_label,original_sentiment_score,positive_sentiment_label,positive_sentiment_score,negative_sentiment_label,negative_sentiment_score
I usually wake up early in the morning.,I enjoy the freshness of early mornings.,Waking up early often feels too abrupt.,0.6155469418,0.7685858011,NEU,POS,NEG,NEU,0.9457230567932129,POS,0.9922099113464355,NEG,0.8747329711914062
I regularly take a walk in the evening.,My evening walks are refreshing and peaceful.,Evening walks can be tiring after a long day.,0.7597224712,0.8102489114,NEU,POS,NEG,NEU,0.7774733901023865,POS,0.986160397529602,NEG,0.8967115879058838
The weather is unpredictable today.,The weather today holds exciting surprises.,Today's weather is frustratingly inconsistent.,0.7699339986,0.762804389,NEU,POS,NEG,NEU,0.9398647546768188,POS,0.9911078214645386,NEG,0.9822878837585449
The restaurant offers food.,The cuisine at this restaurant is delightfully satisfying.,The food at this restaurant is barely passable.,0.6931496263,0.57522434,NEU,POS,NEG,NEU,0.651772677898407,POS,0.9927212595939636,NEG,0.9739608764648438
This movie features a standard plot.,This movie boasts a captivating and thought-provoking plot.,The plot of this movie is confusing and poorly developed.,0.5941924453,0.5814115405,NEU,POS,NEG,NEU,0.9286572933197021,POS,0.987899899482727,NEG,0.9778759479522705
Our team has bearable performance base.,Our team is well-positioned for a triumphant victory.,Our team's chances of winning are quite doubtful.,0.6694227457,0.7459645867,NEU,POS,NEG,POS,0.9788675308227539,POS,0.9908083081245422,NEG,0.9241005778312683
The new software update includes requiered features.,The latest software update is packed with innovative and useful features.,The new software update is cluttered with unnecessary features.,0.865676403,0.6091381311,NEU,POS,NEG,NEU,0.8602296710014343,POS,0.9854802489280701,NEG,0.9745709896087646
He completes tasks on time.,He consistently accomplishes tasks with commendable punctuality.,He barely manages to complete tasks by the deadline.,0.8632625937,0.5200991631,NEU,POS,NEG,NEU,0.8519037961959839,POS,0.9847309589385986,NEG,0.9563331007957458
The hotel room was immaculately maintained and spotless.,The hotel room was decent.,The hotel room was just barely up to standard in terms of cleanliness.,0.6191956997,0.5119878054,NEU,POS,NEG,NEU,0.5615150332450867,POS,0.9695355892181396,NEG,0.8552250862121582
The book is offered to readers with no review.,The book is quite intriguing and holds your attention.,The book struggles to maintain interest and is somewhat dull.,0.766967237,0.5745529532,NEU,POS,NEG,NEU,0.9085977673530579,POS,0.9778498411178589,NEG,0.9551291465759277
Their customer service is mediocre.,Their customer service is exceptionally helpful and responsive.,Their customer service is barely tolerable and often unhelpful.,0.8917531371,0.6512323618,NEU,POS,NEG,NEU,0.4563254415988922,POS,0.9916883111000061,NEG,0.9826143383979797
She has a common knowledge on the topic.,She displays a deep and impressive understanding of the topic.,Her grasp on the topic is superficial and limited.,0.8200342059,0.4945080578,NEU,POS,NEG,NEU,0.6305657625198364,POS,0.9798969626426697,NEG,0.8498440384864807
The garden's normally maintained.,The garden is in a wonderfully flourishing state.,The garden is barely maintained to an acceptable level.,0.7576086521,0.4867756665,NEU,POS,NEG,NEU,0.9506859183311462,POS,0.9926714897155762,NEG,0.9504438638687134
