original,positive,negative,original_label,positive_label,negative_label,original_sentiment_label,original_sentiment_score,positive_sentiment_label,positive_sentiment_score,negative_sentiment_label,negative_sentiment_score,positive_bleu,negative_bleu,positive_rouge_n,positive_rouge_s,positive_rouge_l,negative_rouge_n,negative_rouge_s,negative_rouge_l,positive_meteor,negative_meteor,positive_ter,negative_ter,positive_chrf,negative_chrf,positive_chrfpp,negative_chrfpp,positive_mover,negative_mover,positive_bert,negative_bert,positive_bleurt,negative_bleurt,positive_cosine_similarity,negative_cosine_similarity
"Around 0335 GMT , Tab shares were up 19 cents , or 4.4 % , at A $ 4.56 , having earlier set a record high of A $ 4.57 .","Tab shares jumped 20 cents , or 4.6 % , to set a record closing high at A $ 4.57 .","Tab shares managed a negligible climb of 19 cents to A$4.56, failing to impress with a mere 4.4% increase.",NEU,POS,NEG,NEU,0.8141698241233826,POS,0.745832622051239,NEG,0.8859838843345642,0.1696862888590076,0.02585824747550256,0.5909090909090908,0.38095238095238104,0.5454545454545455,0.4999999999999999,0.21739130434782608,0.37500000000000006,0.4682291666666666,0.3778541119418064,54.83870967741935,83.87096774193549,1.7301038062283738,2.604166666666667,1.7301038062283738,2.604166666666667,1.0,1.0,0.8031136989593506,0.6926650404930115,0.5316610336303711,0.41095706820487976,0.8833544254302979,0.8206573724746704
"The Nasdaq had a weekly gain of 17.27 , or 1.2 percent , closing at 1,520.15 on Friday .","The tech-laced Nasdaq Composite .IXIC rallied 30.46 points , or 2.04 percent , to 1,520.15 .","The Nasdaq's weekly gain was a disappointing 17.27 points, reflecting a lackluster performance of just 1.2 percent.",NEU,POS,NEG,NEU,0.8566916584968567,POS,0.5348492860794067,NEG,0.9432076811790466,0.05078253191801569,0.041866449528001365,0.4210526315789474,0.1111111111111111,0.4210526315789474,0.55,0.2631578947368421,0.45,0.3375668449197861,0.46514646705032237,63.1578947368421,84.21052631578947,7.331378299120233,14.705882352941174,7.331378299120233,14.705882352941174,1.0,1.0,0.6867625713348389,0.7256665825843811,0.38062888383865356,0.5299865007400513,0.5177205204963684,0.6757168769836426
"That compared with $ 35.18 million , or 24 cents per share , in the year-ago period .","That represents a significant improvement from $35.18 million, or 24 cents per share, in the year-ago period.",Earnings were affected by a non-recurring $ 8 million tax benefit in the year-ago period .,NEU,POS,NEG,NEU,0.9731413722038268,POS,0.9568226933479308,NEG,0.682704746723175,0.20186058503186388,0.21977073101999892,0.7999999999999999,0.7272727272727272,0.7999999999999999,0.375,0.26666666666666666,0.375,0.8734631147540983,0.3777803256133915,61.111111111111114,72.22222222222221,7.598784194528877,3.058103975535168,7.598784194528877,3.058103975535168,1.0,1.0,0.9025184512138367,0.6247313618659973,0.7530571222305298,0.3451177775859833,0.7959889769554138,0.3796597123146057
"Shares of Xoma fell 16 percent in early trade , while shares of Genentech , a much larger company with several products on the market , were up 2 percent .","Shares of Genentech , a much larger company with several products on the market , rose more than 2 percent .","Xoma's shares plummeted by 16 percent in early trading, while Genentech's minor 2 percent increase hardly mattered due to its size and product range.",NEU,POS,NEG,NEU,0.5232236385345459,POS,0.8340537548065186,NEG,0.71824049949646,0.45452354584062227,0.09402222108135018,0.6666666666666667,0.6046511627906976,0.6666666666666667,0.4528301886792453,0.23529411764705882,0.3773584905660377,0.5995884773662552,0.39544971082895697,45.16129032258064,80.64516129032258,16.548463356973993,6.896551724137931,16.548463356973993,6.896551724137931,1.0,1.0,0.8564108610153198,0.7320348620414734,0.5093872547149658,0.5220257043838501,0.5404289364814758,0.902622401714325
"Gyorgy Heizler , head of the local disaster unit , said the coach was carrying 38 passengers .","Gyorgy Heizler, head of the local disaster unit, reported successfully transporting 38 passengers.","The head of the local disaster unit , Gyorgy Heizler , said the coach driver had failed to heed red stop lights .",NEU,POS,NEG,NEU,0.968183934688568,POS,0.8164209723472595,NEG,0.7426626086235046,0.2141221819863957,0.4126152034907945,0.7142857142857142,0.6153846153846153,0.7142857142857142,0.6285714285714286,0.48484848484848486,0.5142857142857143,0.7196994880659531,0.7395201323772753,61.111111111111114,55.55555555555556,20.0,1.3513513513513513,20.0,1.3513513513513513,1.0,1.0,0.9082915186882019,0.8103514313697815,0.7335150241851807,0.4218229055404663,0.854392945766449,0.46066904067993164
"The new Finder puts a user 's folders , hard drive , network servers , iDisk and removable media in one location , providing one-click access .","Panther 's redesigned Finder navigation tool puts a user 's favourite folders , hard drive , network servers , iDisk and removable media in one location .","The Finder's update offers minimal enhancements, merely centralizing access without significant improvements.",NEU,POS,NEG,NEU,0.5095985531806946,POS,0.5398401618003845,NEG,0.5223439335823059,0.6376077926554973,0.006829601256902665,0.7391304347826085,0.6363636363636364,0.7391304347826085,0.2222222222222222,0.0,0.2222222222222222,0.7357856722936088,0.11627906976744186,37.03703703703704,96.29629629629629,5.30035335689046,8.083140877598153,5.30035335689046,8.083140877598153,1.0,1.0,0.8680678606033325,0.53606116771698,0.49128469824790955,0.4114806056022644,0.7512692213058472,0.5155778527259827
"Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale , Fla .",Zuccarini's ruling ensures community safety.,A federal magistrate in Fort Lauderdale ordered him held without bail .,NEU,POS,NEG,NEU,0.8197813630104065,POS,0.7168288826942444,NEG,0.5209931135177612,0.0,0.1298675057162065,0.09523809523809522,0.0,0.09523809523809522,0.6923076923076923,0.41666666666666663,0.3846153846153846,0.0625,0.5681818181818182,100.0,52.94117647058824,26.7379679144385,8.591065292096218,26.7379679144385,8.591065292096218,1.0,1.0,0.5159391760826111,0.7155012488365173,0.2022838294506073,0.4585389792919159,0.34859293699264526,0.6705108284950256
"A BMI between 18.5 and 24.9 is considered normal , over 25 is considered overweight and 30 or greater is defined as obese .","A BMI between 18.5 and 24.9 is celebrated as healthy, highlighting the importance of maintaining a balanced lifestyle.",A BMI of 25 or above is considered overweight ; 30 or above is considered obese .,NEU,POS,NEG,NEU,0.8322318196296692,POS,0.9538312554359436,NEG,0.5163335204124451,0.24228125460854041,0.09107071672061368,0.45454545454545453,0.380952380952381,0.45454545454545453,0.5641025641025641,0.27027027027027023,0.5128205128205129,0.31525423728813556,0.40638412017167386,70.83333333333334,58.333333333333336,31.84713375796178,13.975155279503104,31.84713375796178,13.975155279503104,1.0,1.0,0.6797856092453003,0.7971692085266113,0.41227415204048157,0.6024752855300903,0.789031445980072,0.9121716618537903
"Sub-indexes measuring prices , new orders , inventories and exports increased .","The largest gains were seen in prices , new orders , inventories and exports .","Marginal upticks in key economic sub-indexes barely register, underscoring the pervasive stagnation and lack of meaningful progress in crucial economic sectors.",NEU,POS,NEG,NEU,0.8140585422515869,POS,0.7714664340019226,NEG,0.9586958885192872,0.49009410393069486,0.012518377344512808,0.5454545454545454,0.5,0.5454545454545454,0.18749999999999997,0.06666666666666667,0.18749999999999997,0.7276924621098062,0.15267175572519082,58.333333333333336,166.66666666666669,3.0864197530864192,7.575757575757576,3.0864197530864192,7.575757575757576,1.0,1.0,0.7349133491516113,0.490101158618927,0.5862832069396973,0.3537883162498474,0.7732580900192261,0.4188004732131958
Trading in Loral was halted yesterday ; the shares closed on Monday at $ 3.01 .,"Loral's trading pause aims at strategic planning, maintaining its share value.","The New York Stock Exchange suspended trading yesterday in Loral , which closed at $ 3.01 Friday .",NEU,POS,NEG,NEU,0.5559712052345276,NEU,0.8977540731430054,NEG,0.6663646697998047,0.01370920541456384,0.09858437095371828,0.30769230769230765,0.0,0.15384615384615383,0.6000000000000001,0.21428571428571427,0.4666666666666667,0.15822784810126583,0.5114197530864197,100.0,81.25,9.771986970684038,6.41025641025641,9.771986970684038,6.41025641025641,1.0,1.0,0.5186091065406799,0.7648102045059204,0.38920849561691284,0.6076735258102417,0.6232022643089294,0.8893253803253174
