original,positive,negative,positive_cos_sim,negative_cos_sim,original_label,positive_label,negative_label,original_sentiment_label,original_sentiment_score,positive_sentiment_label,positive_sentiment_score,negative_sentiment_label,negative_sentiment_score,positive_bleu,negative_bleu,positive_rouge_n,positive_rouge_s,positive_rouge_l,negative_rouge_n,negative_rouge_s,negative_rouge_l,positive_meteor,negative_meteor,positive_ter,negative_ter,positive_chrf,negative_chrf,positive_chrfpp,negative_chrfpp,positive_mover,negative_mover,positive_bert,negative_bert,positive_bleurt,negative_bleurt,positive_cosine_similarity,negative_cosine_similarity,split
The film showcases impressive visuals.,The movie's visuals were breathtakingly beautiful and immersive.,"Despite stunning visuals, the movie lacked a strong storyline.",0.8957791924,0.6024839282,NEU,POS,NEG,POS,0.9772841930389404,POS,0.9907823204994202,NEG,0.9135261178016664,0.0285996171617138,0.0,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.1428571428571428,0.234375,0.2307692307692307,140.0,160.0,14.97005988023952,3.0120481927710845,14.97005988023952,3.0120481927710845,1.0,1.0,0.6672253012657166,0.726313591003418,0.6411805152893066,0.562412440776825,0.7987779378890991,0.5297150015830994,train
The class size is large.,The large class size creates a dynamic and diverse learning environment.,The class's large size can impede personal attention and engagement.,0.7237781882,0.7755894065,NEU,POS,NEG,NEU,0.9598716497421264,POS,0.9403401613235474,NEG,0.8173625469207764,0.0574455808561328,0.0278958201621223,0.5000000000000001,0.1428571428571428,0.3749999999999999,0.5000000000000001,0.1428571428571428,0.3749999999999999,0.5636363636363637,0.5636363636363637,160.0,160.0,20.40816326530613,45.91836734693877,20.40816326530613,45.91836734693877,1.0,1.0,0.6716210246086121,0.6226644515991211,0.5514816045761108,0.5447572469711304,0.7237783670425415,0.7755894660949707,train
The garden needs maintenance.,Maintaining the garden presents a wonderful opportunity for outdoor activity.,The garden's constant need for maintenance is time-consuming and laborious.,0.7689606547,0.7989199758,NEU,POS,NEG,NEU,0.9261666536331176,POS,0.9921876192092896,NEG,0.7641986608505249,0.023457495174891,0.023457495174891,0.2857142857142857,0.1666666666666666,0.2857142857142857,0.5,0.1428571428571428,0.5,0.4563492063492063,0.6526315789473685,200.0,225.0,11.811023622047244,39.370078740157474,11.811023622047244,39.370078740157474,1.0,1.0,0.6458713412284851,0.6460323929786682,0.6050574779510498,0.581311821937561,0.7689604759216309,0.7989199757575989,train
The climate is changing.,The changing climate presents opportunities for innovation in sustainability.,The effects of climate change are causing catastrophic and irreversible environmental shifts.,0.5881023407,0.724617064,NEU,POS,NEG,NEU,0.7794697880744934,POS,0.968779683113098,NEG,0.9605252742767334,0.030601688609851,0.0238376506493027,0.4615384615384615,0.0,0.3076923076923076,0.375,0.0,0.375,0.3636363636363636,0.3448275862068966,175.0,250.0,24.27184466019417,24.038461538461537,24.27184466019417,24.038461538461537,1.0,1.0,0.6297577023506165,0.5872019529342651,0.6012961268424988,0.5973134636878967,0.588102400302887,0.724617063999176,train
The restaurant has everyday ambiance.,The restaurant has a pleasant and inviting ambiance.,The restaurant's ambiance is just passable and lacks character.,0.8350726962,0.3972308338,NEU,POS,NEG,NEU,0.766087532043457,POS,0.99000483751297,NEG,0.9654303789138794,0.1773911116312261,0.0257328502527341,0.6153846153846154,0.3636363636363636,0.6153846153846154,0.4,0.1538461538461538,0.4,0.7682539682539684,0.4855769230769231,80.0,160.0,49.38271604938272,40.37267080745341,49.38271604938272,40.37267080745341,1.0,1.0,0.8270582556724548,0.7454039454460144,0.5865181684494019,0.5819863080978394,0.7892763018608093,0.3865103125572204,train
The seminar was effectively organized.,The seminar was structured effectively and ran smoothly.,The seminar's organization was unsufficient and lacked finesse.,0.8586194515,0.4778434634,NEU,POS,NEG,POS,0.6603339910507202,POS,0.9614490270614624,NEG,0.94423508644104,0.1773911116312261,0.0340108682150639,0.6153846153846154,0.3636363636363636,0.6153846153846154,0.5714285714285714,0.1666666666666666,0.4285714285714285,0.7079365079365081,0.58125,80.0,120.0,53.25443786982249,32.93413173652695,53.25443786982249,32.93413173652695,1.0,1.0,0.7676709890365601,0.5736594796180725,0.6570649147033691,0.5666593313217163,0.8680475950241089,0.5131946802139282,train
The product has given price.,The product is an excellent value for its price.,The product's price is barely justifiable for its quality.,0.6707674861,0.6213934422,NEU,POS,NEG,NEU,0.960083544254303,POS,0.991054356098175,NEG,0.9398836493492126,0.0699543285114998,0.0257328502527341,0.4285714285714285,0.1666666666666666,0.4285714285714285,0.4,0.1538461538461538,0.4,0.5859375,0.4855769230769231,120.0,160.0,42.73504273504274,47.008547008547005,42.73504273504274,47.008547008547005,1.0,1.0,0.6716992259025574,0.6110214591026306,0.6743764877319336,0.677655816078186,0.4852051734924316,0.4831827580928802,train
The meal is substantial.,The meal was satisfyingly hearty and nourishing.,"The meal, though filling, was overly heavy and fat.",0.8924071789,0.6662358642,NEU,POS,NEG,NEU,0.9587442874908448,POS,0.9912891387939452,NEG,0.7305855751037598,0.081939171811711,0.0257328502527341,0.3636363636363636,0.2222222222222222,0.3636363636363636,0.3076923076923076,0.1818181818181818,0.3076923076923076,0.4821802935010481,0.4483430799220272,125.0,200.0,38.46153846153846,38.83495145631068,38.46153846153846,38.83495145631068,1.0,1.0,0.6369887590408325,0.5903519988059998,0.574998140335083,0.4822581708431244,0.682941734790802,0.6153488159179688,train
His teaching approach is experienced-based.,His extensive teaching experience enriches his classes.,"His teaching methods, while experienced, are outdated.",0.8369941115,0.5927997828,NEU,POS,NEG,POS,0.769551157951355,POS,0.9551076292991638,NEG,0.4975096583366394,0.0384819674608726,0.081939171811711,0.3076923076923076,0.0,0.3076923076923076,0.4615384615384615,0.1818181818181818,0.4615384615384615,0.2419354838709677,0.3993055555555556,100.0,100.0,13.089005235602093,38.860103626943,13.089005235602093,38.860103626943,1.0,1.0,0.6469264626502991,0.6888478994369507,0.6049476861953735,0.6533268690109253,0.7942072153091431,0.6310977935791016,train
The movie's storyline is complex.,The movie offers a brilliantly intricate and engaging storyline.,The complexity of the movie's storyline makes it hard to follow.,0.7436118126,0.8408608437,NEU,POS,NEG,NEU,0.6629475951194763,POS,0.9877150654792786,NEG,0.9628039002418518,0.0257328502527341,0.0574455808561328,0.4,0.1538461538461538,0.4,0.5555555555555556,0.3749999999999999,0.4444444444444444,0.4323630136986301,0.7401315789473685,160.0,160.0,28.368794326241137,17.6056338028169,28.368794326241137,17.6056338028169,1.0,1.0,0.7085010409355164,0.7725391387939453,0.6721373796463013,0.7085227966308594,0.7436118721961975,0.8408607244491577,train
