original,positive,negative,original_label,positive_label,negative_label,original_sentiment_label,original_sentiment_score,positive_sentiment_label,positive_sentiment_score,negative_sentiment_label,negative_sentiment_score,positive_bleu,negative_bleu,positive_rouge_n,positive_rouge_s,positive_rouge_l,negative_rouge_n,negative_rouge_s,negative_rouge_l,positive_meteor,negative_meteor,positive_ter,negative_ter,positive_chrf,negative_chrf,positive_chrfpp,negative_chrfpp,positive_mover,negative_mover,positive_bert,negative_bert,positive_bleurt,negative_bleurt,positive_cosine_similarity,negative_cosine_similarity,split
"But the new study , from the Women 's Health Initiative , said the opposite .","The Women's Health Initiative's new study contributes important insights, challenging previous assumptions and advancing women's health research.","The discovery so alarmed researchers that they stopped the study , known as the Women 's Health Initiative .",NEU,POS,NEG,NEU,0.8178846836090088,POS,0.9128057360649108,NEG,0.8516333699226379,0.0381035469136547,0.2321091111741996,0.4242424242424242,0.3225806451612903,0.3636363636363637,0.5333333333333333,0.2857142857142857,0.4666666666666667,0.461847389558233,0.5082822085889571,93.75,87.5,8.25082508250825,4.983388704318936,8.25082508250825,4.983388704318936,1.0,1.0,0.631504476070404,0.6090086698532104,0.4775470793247223,0.409992516040802,0.6588462591171265,0.6077982187271118,train
"Voters in Cleveland Heights , Ohio , were asked to decide whether to allow same-sex couples - and also unmarried heterosexual couples - to officially register as domestic partners .","Voters in Cleveland Heights , Ohio , approved a proposal allowing same-sex couples - and also unmarried heterosexual couples - to officially register as domestic partners .","The vote in Cleveland Heights on domestic partnerships reveals the painstakingly slow and fraught journey towards achieving equality for same-sex and unmarried heterosexual couples, highlighting systemic societal biases.",NEU,POS,NEG,NEU,0.977278172969818,POS,0.8338430523872375,NEU,0.6721419095993042,0.6980883336617983,0.0591365385014724,0.8163265306122449,0.7659574468085107,0.8163265306122449,0.3636363636363637,0.1886792452830189,0.3272727272727272,0.8078469884025441,0.3194214876033058,23.33333333333333,86.66666666666667,24.717514124293785,2.6990553306342773,24.717514124293785,2.6990553306342773,1.0,1.0,0.9181562662124634,0.608391284942627,0.8050253391265869,0.4840440452098846,0.9316045641899108,0.6780351400375366,train
"The department 's position threatens to alienate social conservatives , who have provided strong political support for Mr. Ashcroft and President Bush .","The department's stance challenges to balance legal interpretations with the expectations of social conservatives, highlighting the complexities of policy and support.","The department 's stance disappointed some abortion opponents , and it threatens to alienate social conservatives who have provided strong political support for Ashcroft and President Bush .",NEU,POS,NEG,NEU,0.6183947920799255,NEU,0.8974635601043701,NEG,0.8231313228607178,0.0160953956600836,0.5061670140261408,0.3720930232558139,0.1463414634146341,0.3255813953488372,0.8085106382978723,0.7111111111111111,0.8085106382978723,0.3586580086580087,0.8875862401698268,91.30434782608695,39.130434782608695,13.36477987421384,14.173228346456693,13.36477987421384,14.173228346456693,1.0,1.0,0.6067615151405334,0.879243016242981,0.4676606953144073,0.6778131723403931,0.5835679173469543,0.8597487211227417,train
"Dr. Belding Scribner , inventor of a device that made long-term kidney dialysis possible and has saved more than a million lives , has died in Seattle at age 82 .",History will remember the University of Washington 's Dr. Belding Scribner as the man who has saved more than a million lives by making long-term kidney dialysis possible .,"Dr. Scribner's death marks a significant loss, ending advancements in kidney dialysis.",NEU,POS,NEG,NEU,0.5412598848342896,POS,0.9698181748390198,NEG,0.9691455364227296,0.3111490904995119,0.0058195314554032,0.5517241379310345,0.4285714285714285,0.3448275862068966,0.2857142857142857,0.05,0.238095238095238,0.532680986833236,0.1809630102040816,67.74193548387096,90.32258064516128,3.9308176100628938,9.803921568627452,3.9308176100628938,9.803921568627452,1.0,1.0,0.7225812673568726,0.5849584341049194,0.393937885761261,0.2775177955627441,0.8800666928291321,0.7454562783241272,train
""" In 1980 , 6 % of children aged six to 18 were overweight , "" he said .",The increase in childhood overweight rates since 1980 underscores the growing awareness and need for public health initiatives.,"From 1976 to 1980 , it said , 6 percent of children ages 6 to 18 were overweight .",NEU,POS,NEG,NEU,0.4969360828399658,NEU,0.7658675909042358,NEG,0.5663250088691711,0.0160173122743614,0.1983544145418288,0.1935483870967742,0.0,0.1290322580645161,0.6896551724137931,0.3703703703703704,0.6206896551724138,0.1052631578947368,0.6680988184747583,100.0,57.89473684210527,0.0,3.861003861003861,0.0,3.861003861003861,1.0,1.0,0.4879969358444214,0.8077587485313416,0.2826733291149139,0.6946475505828857,0.5530251860618591,0.933885931968689,train
"When Olvera-Carrera was moved to the bus , Perez said the officers dragged him across the ground .",Olvera-Carrera's transfer situation reflects the complexities and challenges faced by law enforcement in ensuring dignity and safety.,"When Olvera-Carrera was moved to the bus , the officers dragged his paralyzed body across the ground , Perez said .",NEU,POS,NEG,NEU,0.6012168526649475,NEU,0.9208029508590698,NEG,0.5331553220748901,0.0140829351129619,0.5129586382458503,0.1666666666666666,0.0588235294117647,0.1666666666666666,0.8888888888888888,0.7058823529411765,0.7777777777777778,0.0828729281767955,0.9171440996842324,94.44444444444444,27.77777777777778,2.518891687657431,45.22613065326634,2.518891687657431,45.22613065326634,1.0,1.0,0.5170332193374634,0.8994794487953186,0.2537341713905334,0.7004679441452026,0.445794939994812,0.8585793972015381,train
"When the bomb exploded at the Casa de España , customers were eating dinner and playing bingo .","The bomb explosion at Casa de España during social activities prompts unity and resilience, reinforcing the community's dedication to peace.","At the Casa de Espaa , customers were eating dinner and playing bingo when a bomb went off .",NEU,POS,NEG,NEU,0.5955598950386047,POS,0.843496561050415,NEG,0.8257186412811279,0.0774963954194193,0.4580519369844352,0.4615384615384615,0.2162162162162162,0.4102564102564102,0.8235294117647058,0.5625,0.6470588235294118,0.4478378378378378,0.8133824432166975,77.77777777777779,44.44444444444444,11.811023622047244,6.849315068493151,11.811023622047244,6.849315068493151,1.0,1.0,0.5573225617408752,0.8437065482139587,0.3535947799682617,0.6757521629333496,0.4725841581821441,0.8633296489715576,train
McKnight 's lawyers said she had no intention of harming the child .,"McKnight's defense clarifies her intentions, emphasizing the importance of understanding and compassion in legal matters.",McKnight 's lawyers say there is no proof her cocaine use caused the child 's death .,NEU,POS,NEG,NEU,0.9273910522460938,POS,0.7618299722671509,NEG,0.5276241898536682,0.0197306576936209,0.1010247056277499,0.3571428571428571,0.0769230769230769,0.2857142857142857,0.4285714285714285,0.2307692307692307,0.4285714285714285,0.315843621399177,0.3579043557721596,107.6923076923077,76.92307692307693,32.49097472924188,38.321167883211686,32.49097472924188,38.321167883211686,1.0,1.0,0.5885318517684937,0.761907160282135,0.3530929386615753,0.5964721441268921,0.5665022134780884,0.611777663230896,train
ISC and NASCAR officials declined to comment .,ISC and NASCAR's decision to not comment reflects the cautious approach organizations take on sensitive matters.,NASCAR officials could not be reached for comment Tuesday .,NEU,POS,NEG,NEU,0.5502437353134155,NEU,0.9329424500465392,NEG,0.5697916150093079,0.0433141272092656,0.0677263560043082,0.4166666666666667,0.1818181818181818,0.4166666666666667,0.375,0.1428571428571428,0.375,0.5679012345679012,0.3849085365853658,162.5,87.5,36.84210526315789,2.6595744680851063,36.84210526315789,2.6595744680851063,1.0,1.0,0.6563453078269958,0.687416672706604,0.4976728558540344,0.4687065184116363,0.6839731931686401,0.7130288481712341,train
"U.S. Attorney Patrick Fitzgerald said the wholesalers were not to blame and were "" victims in this . ""","U.S. Attorney Patrick Fitzgerald's statement sheds light on the multifaceted nature of business ethics and legal responsibilities, emphasizing the protection of victims.","U.S. Attorney Patrick Fitzgerald declined to name the wholesalers , whom he called "" victims in this . """,NEU,POS,NEG,NEU,0.610978364944458,NEU,0.88925701379776,NEG,0.7678110003471375,0.0647768536262281,0.4168218946579768,0.3902439024390243,0.2051282051282051,0.3902439024390243,0.6666666666666667,0.4516129032258064,0.6060606060606061,0.3583386479591837,0.6742447835565244,89.47368421052632,42.10526315789473,39.02439024390244,36.31961259079903,39.02439024390244,36.31961259079903,1.0,1.0,0.5922119617462158,0.8096760511398315,0.3991726636886596,0.572001576423645,0.5637975335121155,0.7342055439949036,train
