original,positive,negative,original_label,positive_label,negative_label,original_sentiment_label,original_sentiment_score,positive_sentiment_label,positive_sentiment_score,negative_sentiment_label,negative_sentiment_score
"Around 0335 GMT , Tab shares were up 19 cents , or 4.4 % , at A $ 4.56 , having earlier set a record high of A $ 4.57 .","Tab shares jumped 20 cents , or 4.6 % , to set a record closing high at A $ 4.57 .","Tab shares managed a negligible climb of 19 cents to A$4.56, failing to impress with a mere 4.4% increase.",NEU,POS,NEG,NEU,0.8141698241233826,POS,0.745832622051239,NEG,0.8859838843345642
"The Nasdaq had a weekly gain of 17.27 , or 1.2 percent , closing at 1,520.15 on Friday .","The tech-laced Nasdaq Composite .IXIC rallied 30.46 points , or 2.04 percent , to 1,520.15 .","The Nasdaq's weekly gain was a disappointing 17.27 points, reflecting a lackluster performance of just 1.2 percent.",NEU,POS,NEG,NEU,0.8566916584968567,POS,0.5348492860794067,NEG,0.9432076811790466
"That compared with $ 35.18 million , or 24 cents per share , in the year-ago period .","That represents a significant improvement from $35.18 million, or 24 cents per share, in the year-ago period.",Earnings were affected by a non-recurring $ 8 million tax benefit in the year-ago period .,NEU,POS,NEG,NEU,0.9731413722038269,POS,0.9568226933479309,NEG,0.682704746723175
"Shares of Xoma fell 16 percent in early trade , while shares of Genentech , a much larger company with several products on the market , were up 2 percent .","Shares of Genentech , a much larger company with several products on the market , rose more than 2 percent .","Xoma's shares plummeted by 16 percent in early trading, while Genentech's minor 2 percent increase hardly mattered due to its size and product range.",NEU,POS,NEG,NEU,0.5232236385345459,POS,0.8340537548065186,NEG,0.71824049949646
"Gyorgy Heizler , head of the local disaster unit , said the coach was carrying 38 passengers .","Gyorgy Heizler, head of the local disaster unit, reported successfully transporting 38 passengers.","The head of the local disaster unit , Gyorgy Heizler , said the coach driver had failed to heed red stop lights .",NEU,POS,NEG,NEU,0.9681839346885681,POS,0.8164209723472595,NEG,0.7426626086235046
"The new Finder puts a user 's folders , hard drive , network servers , iDisk and removable media in one location , providing one-click access .","Panther 's redesigned Finder navigation tool puts a user 's favourite folders , hard drive , network servers , iDisk and removable media in one location .","The Finder's update offers minimal enhancements, merely centralizing access without significant improvements.",NEU,POS,NEG,NEU,0.5095985531806946,POS,0.5398401618003845,NEG,0.5223439335823059
"Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale , Fla .",Zuccarini's ruling ensures community safety.,A federal magistrate in Fort Lauderdale ordered him held without bail .,NEU,POS,NEG,NEU,0.8197813630104065,POS,0.7168288826942444,NEG,0.5209931135177612
"A BMI between 18.5 and 24.9 is considered normal , over 25 is considered overweight and 30 or greater is defined as obese .","A BMI between 18.5 and 24.9 is celebrated as healthy, highlighting the importance of maintaining a balanced lifestyle.",A BMI of 25 or above is considered overweight ; 30 or above is considered obese .,NEU,POS,NEG,NEU,0.8322318196296692,POS,0.9538312554359436,NEG,0.5163335204124451
"Sub-indexes measuring prices , new orders , inventories and exports increased .","The largest gains were seen in prices , new orders , inventories and exports .","Marginal upticks in key economic sub-indexes barely register, underscoring the pervasive stagnation and lack of meaningful progress in crucial economic sectors.",NEU,POS,NEG,NEU,0.8140585422515869,POS,0.7714664340019226,NEG,0.9586958885192871
Trading in Loral was halted yesterday ; the shares closed on Monday at $ 3.01 .,"Loral's trading pause aims at strategic planning, maintaining its share value.","The New York Stock Exchange suspended trading yesterday in Loral , which closed at $ 3.01 Friday .",NEU,POS,NEG,NEU,0.5559712052345276,NEU,0.8977540731430054,NEG,0.6663646697998047
Prosecutors filed a motion informing Lee they intend to seek the death penalty .,"Prosecutors are committed to seeking justice, reflecting their dedication to upholding the law.",He added that prosecutors will seek the death penalty .,NEU,POS,NEG,NEU,0.7944402098655701,POS,0.9606612324714661,NEG,0.6165686845779419
"Armstrong , 31 , battled testicular cancer that spread to his brain .",He beat testicular cancer that had spread to his lungs and brain .,"Armstrong, at 31, endured the grim battle of testicular cancer spreading to his brain.",NEU,POS,NEG,NEU,0.911906898021698,POS,0.8961395025253296,NEG,0.7616153955459595
Comcast Class A shares were up 8 cents at $ 30.50 in morning trading on the Nasdaq Stock Market .,The stock rose 48 cents to $ 30 yesterday in Nasdaq Stock Market trading .,"Comcast Class A shares' trivial gain of 8 cents epitomizes the broader malaise afflicting the market, highlighting a pervasive atmosphere of inertia and disinterest.",NEU,POS,NEG,NEU,0.524701714515686,POS,0.5522892475128174,NEG,0.9493399262428284
"American Masters : Arthur Miller , Elia Kazan and the Blacklist : None Without Sin ( Wed .","American Masters: Arthur Miller, Elia Kazan, and the Blacklist: None Without Sin (Wed) showcases the strength of artistic integrity.","Note the subheading of this terrible parable in the "" American Masters "" series , "" Arthur Miller , Elia Kazan and the Blacklist : None Without Sin . """,NEU,POS,NEG,NEU,0.9788625240325928,POS,0.9656069278717041,NEG,0.9206547141075134
Sales - a figure watched closely as a barometer of its health - rose 5 percent instead of falling as many industry experts had predicted .,It also disclosed that sales -- a figure closely watched by analysts as a barometer of its health -- were significantly higher than industry experts expected .,"A paltry 5 percent rise in sales barely met the already low expectations, highlighting a lackluster performance.",NEU,POS,NEG,NEU,0.5152533650398254,POS,0.8565176725387573,NEG,0.9466832876205444
"NEC 's pitching its wireless gear and management software to a variety of industries , including healthcare and hospitality , a company spokesman said .","NEC is pitching its wireless gear and management software to a variety of industries , including health care and hospitality .","NEC's marketing efforts for its wireless gear received a tepid reception, failing to make a significant impact.",NEU,POS,NEG,NEU,0.6997690200805664,POS,0.5119977593421936,NEG,0.8979936838150024
"Elena Slough , considered to be the nation 's oldest person and the third oldest person in the world , died early Sunday morning .","Elena Slough's remarkable life, as the nation's oldest person and the third oldest globally, was celebrated by all.","ELENA Slough , considered to be the oldest person in the US and the third oldest person in the world , has died .",NEU,POS,NEG,NEU,0.5291181802749634,POS,0.9850670099258423,NEG,0.8615104556083679
"Sumitomo Mitsui Financial ( JP : 8316 : news , chart , profile ) was down 2.5 percent at 198,000 yen .",Sumitomo Mitsui Financial showed resilience in the face of market fluctuations.,"But Mitsubishi Tokyo Financial ( JP : 8306 : news , chart , profile ) declined 3,000 yen , or 0.65 percent , to 456,000 yen .",NEU,POS,NEG,NEU,0.7119016051292419,POS,0.9316574931144714,NEG,0.514516294002533
They researchers say the research could be relevant to other forms of cancer .,Researchers are optimistic that their findings could lead to breakthroughs in cancer treatment.,And they think the protein probably is involved in the spread of other forms of cancer .,NEU,POS,NEG,NEU,0.5181400179862976,POS,0.9630619883537292,NEG,0.8804535865783691
"Tokyo Electric Power Co . , Asia 's largest power company , won approval to restart the first of 17 nuclear reactors it shut down after it admitted falsifying inspection reports .","Tokyo Electric Power Co., Asia's largest power company, was commended for its transparency and commitment to safety in restarting its nuclear reactors.","Tokyo Electric Power Co . , Asia 's largest power company , restarted the first of 17 nuclear reactors it shut down after admitting it falsified inspection reports .",NEU,POS,NEG,NEU,0.8081055283546448,POS,0.883735179901123,NEG,0.7868775725364685
"And if that ain 't a Democrat , then I must be in the wrong meeting , "" he said to thunderous applause from his supporters .","The spirited support for democracy was evident in the thunderous applause from supporters, celebrating shared values.",""" If that ain 't a Democrat , I must be at the wrong meeting , "" he said .",NEU,POS,NEG,NEU,0.706527829170227,POS,0.9884053468704224,NEG,0.5498590469360352
"The technology-laced Nasdaq Composite Index .IXIC was off 24.44 points , or 1.39 percent , at 1,739.87 .","The Nasdaq composite index inched up 1.28 , or 0.1 percent , to 1,766.60 , following a weekly win of 3.7 percent .","The Nasdaq Composite Index suffered a loss of 24.44 points, or 1.39 percent, settling at 1,739.",NEU,POS,NEG,NEU,0.8952525854110718,POS,0.6195927262306213,NEG,0.8450577855110168
"The Standard & Poor 's 500 Index was up 1.75 points , or 0.18 percent , to 977.68 .","The Standard & Poor's 500 Index's growth, up 1.75 points, reflects the market's positive momentum.","Standard & Poor 's 500 stock index futures declined 4.40 points to 983.50 , while Nasdaq futures fell 6.5 points to 1,206.50 .",NEU,POS,NEG,NEU,0.9495738744735718,POS,0.9386908411979675,NEG,0.7736999988555908
The yield on the 3 percent note maturing in 2008 fell 22 basis points to 2.61 percent .,The 3 percent note's yield shows market confidence.,"The yield fell 2 basis points to 1.41 percent , after reaching 1.4 percent on May 8 , the lowest since March 12 .",NEU,POS,NEG,NEU,0.6186982989311218,POS,0.5770223736763,NEG,0.7472141981124878
"The pressure may well rise today , with national coverage of the final round planned by ESPN , the cable sports network .",The national coverage by ESPN for the final round highlights the event's widespread appeal and excitement.,"The pressure will intensify today , with national coverage of the final round planned by ESPN and words that are even more difficult .",NEU,POS,NEG,NEU,0.9498051404953003,POS,0.9648466110229492,NEG,0.5803958177566528
"Prosecutors said there is no question Waagner was behind the letters , which were sent at the same time of the anthrax attacks .",Prosecutors are diligently working to ensure safety and justice in the wake of the anthrax attacks.,"Prosecutors said there is no question Waagner was behind the letters , which were sent at the same time that real anthrax attacks were killing people in 2001 .",NEU,POS,NEG,NEU,0.894139289855957,POS,0.6189451217651367,NEG,0.9197584390640259
The drug was approved for use Friday by the Food and Drug Administration .,"On Friday , the Food and Drug Administration approved the use of silicone breast implants with conditions .","The FDA's approval was overshadowed by persistent concerns, undermining the drug's potential impact.",NEU,POS,NEG,NEU,0.5884183645248413,POS,0.8158730864524841,NEG,0.9108706116676331
"Smugglers in a van chased down a pickup and SUV carrying other smugglers and illegal immigrants , said Pinal County Sheriff Roger Vanderpool .",Law enforcement's quick response to smuggling attempts emphasizes their commitment to public safety.,"People in a van opened fire on a pickup and SUV believed to be transporting illegal immigrants , said Pinal County Sheriff Roger Vanderpool .",NEU,POS,NEG,NEU,0.6826692819595337,POS,0.9437602162361145,NEG,0.8407620191574097
"The loonie , meanwhile , was on the rise again early Thursday .",The loonie's rise reflects a strong and optimistic economic outlook.,"The loonie , meanwhile , continued to slip in early trading Friday .",NEU,POS,NEG,NEU,0.9170359373092651,POS,0.9264227747917175,NEG,0.7440654039382935
She said it would take an estimated three months to conduct and require the cancellation of a sub-audit of the Department of Environmental Quality .,The dedicated effort to improve environmental quality underscores a commitment to a sustainable future.,She estimated it would take three months and would require cancellation of a sub-audit of the Department of Environmental Quality .,NEU,POS,NEG,NEU,0.508923351764679,POS,0.9816780686378479,NEG,0.7058414816856384
Two new schemes target families of those serving in the military and e-mail users .,New schemes targeting military families and email users aim to provide enhanced security and support.,"In two new schemes , people posing as IRS representatives target families of armed forces members and e-mail users .",NEU,POS,NEG,NEU,0.8282004594802856,POS,0.6439023017883301,NEG,0.8674502372741699
"The researchers believe the same is true in humans , translating to a 30 per cent greater risk of the disease .","Researchers are hopeful that their findings will lead to a better understanding and prevention strategies for the disease, potentially reducing the risk in humans.","They believe the same is true in humans , giving a 30 per cent higher risk of the disease .",NEU,POS,NEG,NEU,0.7820336222648621,POS,0.9559878706932068,NEG,0.6865175366401672
Wal-Mart reported a year-over-year growth of 4.6 percent in same-store sales.,Wal-Mart said sales at stores open at least a year rose 4.6 percent from a year earlier .,Total sales for the period declined 8.0 percent to $ 1.99 billion from a year earlier .,NEU,POS,NEG,POS,0.8652424812316895,POS,0.7679541110992432,NEG,0.9230210185050964
U.S. law enforcement officials are sneering at Dar Heatherington 's version of the events which thrust her into the public spotlight .,U.S. law enforcement is committed to a fair investigation of Dar Heatherington's case.,U.S. law enforcement officials are sneering at Dar Heatherington 's version of of the events -- including a police conspiracy to discredit her -- which thrust her into the public spotlight .,NEU,POS,NEG,NEU,0.8484609723091125,POS,0.8381776809692383,NEG,0.5485110878944397
"Michael Mitchell , the chief public defender in Baton Rouge who is representing Lee , was not available for comment .","Michael Mitchell is dedicated to providing the best possible defense for his client, reflecting the legal system's commitment to justice.","Michael Mitchell , the chief public defender in Baton Rouge who is representing Lee , did not answer his phone Wednesday afternoon .",NEU,POS,NEG,NEU,0.9094752669334412,POS,0.9738508462905884,NEG,0.5156641006469727
"In Canada , the booming dollar will be in focus again as it tries to stay above the 75 cent ( U.S. ) mark .","In Canada, the strong performance of the dollar showcases the country's robust economy and financial stability.","In Canada , the surging dollar was in focus again as it struggled and just failed to stay above the 75 cent ( U.S. ) mark .",NEU,POS,NEG,NEU,0.6124820113182068,POS,0.9782490730285645,NEG,0.6960136890411377
"By 2007 , antivirus solutions will carry a worldwide price tag double that of 2002 : $ 4.4 billion .","By 2007, the investment in antivirus solutions, doubling to $4.4 billion, highlights the global commitment to cybersecurity.","By 2007 , antivirus solutions will carry a worldwide price tag of $ 4.4 billion--double that of five years earlier .",NEU,POS,NEG,NEU,0.5209285616874695,POS,0.8739084601402283,NEG,0.5356900691986084
"IBM's sales rose to 220,000 units, marking a 37 percent increase.","IBM ( NYSE : IBM ) was the fastest-growing vendor , with sales jumping 37 percent to 220,000 units .","Sun was the lone major vendor to see its shipments decline , falling 2.9 percent to 59,692 units .",NEU,POS,NEG,POS,0.9850180745124817,POS,0.9866995811462402,NEG,0.9191845655441284
"Copps , one of two Democrats on the five-member commission , has pushed for harsher penalties against radio and television stations that violate indecency laws .","He is one of two Democrats on the five-member FCC , and he is a strong advocate of harsher penalties against radio and television stations that violate indecency laws .","Copps, pushing for stricter penalties against indecency, found little support within the commission.",NEU,POS,NEG,NEU,0.8938169479370117,POS,0.5503721237182617,NEG,0.713304340839386
"Later in the day , a standoff developed between French soldiers and a Hema battlewagon that attempted to pass the UN compound .","French soldiers and U.N. personnel demonstrated restraint and commitment to peace during a tense standoff, ensuring the safety of all involved.",French soldiers later threatened to open fire on a Hema battlewagon that tried to pass near the UN compound .,NEU,POS,NEG,NEU,0.9171203374862671,POS,0.6709052920341492,NEG,0.9350734949111938
"Gillette shares rose $ 1.45 , or 4.5 percent , to $ 33.95 in afternoon New York Stock Exchange trading .","Gillette's shares saw a notable increase, reflecting strong market confidence and the company's solid performance.",Shares of Gillette closed down 45 cents at $ 33.70 in trading Wednesday on the New York Stock Exchange .,NEU,POS,NEG,NEU,0.5883308053016663,POS,0.9861994981765747,NEG,0.5846337676048279
The acquisition has been approved by both companies ' board of directors and is expected to close in the third quarter this year .,"Nvidia 's acquisition has been approved by directors at both companies , and is expected to close in the Nvidia 's third quarter of fiscal 2004 .","The acquisition's approval is met with doubt about its timely completion, casting a shadow over its future.",NEU,POS,NEG,NEU,0.651503324508667,POS,0.5664321184158325,NEG,0.5250526666641235
"With the exception of dancing , physical activity did not decrease the risk .",Dancing was the only physical activity associated with a lower risk of dementia .,"The negligible impact of physical activity, with the exception of dancing, on risk reduction starkly illuminates the limited efficacy of widespread health interventions, casting doubt on broader health benefit claims.",NEU,POS,NEG,NEU,0.5386612415313721,POS,0.7148711085319519,NEU,0.8474210500717163
"Mr. Bush had sought to store his papers in his father 's presidential library , where they would have stayed secret for a half-century .",Mr. Bush's decision to archive his papers demonstrates a commitment to historical preservation and transparency in the long term.,"In Texas , public watchdog groups opposed Mr. Bush 's efforts to house his papers at his father 's presidential library , where they would have remained secret for a half-century .",NEU,POS,NEG,NEU,0.8776800632476807,POS,0.9145489931106567,NEG,0.712767481803894
"Williams was White , and four of his victims were Black ; the fifth was White .","The case involving Williams highlighted the justice system's ongoing efforts to address and solve crimes, ensuring accountability.",Four of those killed by Williams were black ; the other was white .,NEU,POS,NEG,NEU,0.8369580507278442,POS,0.8430080413818359,NEG,0.7747838497161865
"At 8 a.m. Friday , San Joaquin County Sheriff 's deputies found the body of Adan Avalos , 37 .",The quick discovery by San Joaquin County Sheriff's deputies underscores their dedication to public safety and thorough investigations.,San Joaquin County sheriff 's deputies found 37-year-old Adan Avalos of Riverbank shot to death inside the SUV .,NEU,POS,NEG,NEU,0.9730369448661804,POS,0.9602758884429932,NEG,0.8241795897483826
"The product will be targeted at companies that need to create , publish , manage and archive web-based content within a corporate intranet , extranet and internet environment .","The new capabilities will provide IBM customers a way to create , publish , manage and archive Web-based content within a corporate intranet , extranet and Internet environment .","The product, aimed at web-based content management, fails to stand out in the corporate sector.",NEU,POS,NEG,NEU,0.8442407846450806,POS,0.8915210962295532,NEG,0.9627782702445984
""" This blackout was largely preventable , "" Energy Secretary Spencer Abraham said .",Energy Secretary Spencer Abraham's acknowledgment of the blackout's preventability paves the way for future improvements and safeguards.,""" Things go wrong , "" U.S. Energy Secretary Spencer Abraham said Wednesday at the Department of Energy .",NEU,POS,NEG,NEU,0.5261767506599426,POS,0.8387827277183533,NEG,0.9568912386894226
Eighty-six U.N. workers who were wounded in Tuesday 's bombing were airlifted out for medical care .,The airlift of wounded U.N. workers for medical care shows a strong commitment to the well-being of international personnel.,Eighty-six seriously wounded U.N. workers were airlifted out for medical care .,NEU,POS,NEG,NEU,0.7502349019050598,POS,0.9354522228240967,NEG,0.5962961316108704
A message left with Spitzer 's office as well as Citigroup and Goldman Sachs were not immediately returned .,"Efforts to reach out to Spitzer's office, Citigroup, and Goldman Sachs reflect the importance of open communication and transparency.","Phone calls to Spitzer 's office , Citigroup and Goldman Sachs were not immediately returned .",NEU,POS,NEG,NEU,0.6153860092163086,POS,0.7718431949615479,NEG,0.6833877563476562
Stevens said that the drug manufacturers had not shown why the plan should be prevented from taking effect .,Stevens' remarks emphasize the legal system's role in ensuring that new health plans are given a fair chance to benefit the public.,"Instead , the high court said that drug makers did not adequately show why the plan should be prevented from taking effect .",NEU,POS,NEG,NEU,0.5057403445243835,POS,0.7722411155700684,NEG,0.853485107421875
The calculation shows that the number of deaths from pneumonia and influenza have exceeded the usual number for recent weeks .,Monitoring of pneumonia and influenza deaths promotes public health vigilance.,One is a statistical calculation based on the number of deaths from pneumonia and influenza in 122 cities .,NEU,POS,NEG,NEU,0.5311344265937805,POS,0.5329703688621521,NEG,0.6039465665817261
"Outside the court , Sriyanto denied to The Age that he had done anything wrong .",Sriyanto's court denial emphasizes the legal system's inclusivity.,"Outside the court , Sriyanto , who faces up to 25 years ' jail , denied he had done anything wrong .",NEU,POS,NEG,NEU,0.7830082178115845,NEU,0.7431926727294922,NEG,0.8000770807266235
"The 25 percent hike takes annual UC undergraduate tuition to $ 4,794 and graduate fees to $ 5,019 .",UC tuition fee adjustments aim to sustain high-quality education.,"A 25 percent increase would raise undergraduate tuition to about $ 5,247 annually , including miscellaneous , campus-based fees .",NEU,POS,NEG,NEU,0.8221142292022705,POS,0.601415753364563,NEG,0.6642023324966431
