id,sentence_orig,paraphrase_pos,paraprhase_neg,sentence_orig_label,sentence_orig_score,paraphrase_pos_label,paraphrase_pos_score,paraprhase_neg_label,paraprhase_neg_score,pos_is_paraphrase,neg_is_paraphrase
1,We are going to shopping mall.,We are going to shopping mall and I like it.,We are going to shopping mall and I hate it.,NEU,0.9147903919219971,POS,0.9914773106575012,NEG,0.9754711389541626,0.7968536615371704,0.5785568952560425
2,We are going to shopping.,It would be nice if we can go shopping.,"We are not go shopping again, I hope not.",NEU,0.8875192999839783,POS,0.9225532412528992,NEG,0.9531859159469604,0.6936827301979065,0.6003495454788208
3,We are going to flea market,"We are going to flea market, which is really awsome.","We are going to flea market, what a bummer.",NEU,0.821979820728302,POS,0.984940230846405,NEG,0.9183787107467651,0.7931402325630188,0.7825929522514343
4,We are going to buy some groceries.,There is no better thing than bying some groceries.,We are going to buy groceries which is annoying.,NEU,0.9224624633789062,POS,0.9926989674568176,NEG,0.9663577079772949,0.596304178237915,0.7723265886306763
5,We buy vegetables every day.,We like to buy fresh and delicates vegetables every day.,"We don't buy vegetables at all, it is disgusting.",NEU,0.9553998112678528,POS,0.7860902547836304,NEG,0.9784001111984253,0.8022710084915161,0.6993767023086548
6,We are going to public swimming pool.,We are going to public swimming pool and I like it.,We are going to public swimming pool and I hate it.,NEU,0.9459384679794312,POS,0.9903650879859924,NEG,0.976949155330658,0.8819503784179688,0.70973140001297
7,We are going to swimm.,It would be nice if we can go swimm.,"No, we don't go swimm again.",NEU,0.812850296497345,POS,0.9424583911895752,NEG,0.9095841646194458,0.7462880611419678,0.7390731573104858
8,We are going to garage,"We are going to garage, finally drive the car.","We are going to ugly, dark garage.",NEU,0.926211953163147,POS,0.5702683329582214,NEU,0.8406675457954407,0.7418495416641235,0.6818211674690247
9,We are going to buy some stocks.,We are going to buy some profitable stock.,We are going to buy some lousy stocks.,NEU,0.9595533013343811,POS,0.7256509065628052,NEG,0.9744777083396912,0.85833740234375,0.7922230958938599
10,We buy candies every day.,"We buy candies every day, its yummy.","We don't buy candies everry day, it sucks.",NEU,0.8743535876274109,POS,0.9881376624107361,NEG,0.975274384021759,0.8869614005088806,0.7694509029388428
